Kit de 67,5m;1525;Platine;-;"27 Panneaux; 28 Poteaux; 56 Bride; 56 Vis bride; 28 Platines; 112 Vis platine"
Kit de 70m;1525;Platine;-;"28 Panneaux; 29 Poteaux; 58 Bride; 58 Vis bride; 29 Platines; 116 Vis platine"
Kit de 72,5m;1525;Platine;-;"29 Panneaux; 30 Poteaux; 60 Bride; 60 Vis bride; 30 Platines; 120 Vis platine"
Kit de 75m;1525;Platine;-;"30 Panneaux; 31 Poteaux; 62 Bride; 62 Vis bride; 31 Platines; 124 Vis platine"
Kit de 77,5m;1525;Platine;-;"31 Panneaux; 32 Poteaux; 64 Bride; 64 Vis bride; 32 Platines; 128 Vis platine"
Kit de 80m;1525;Platine;-;"32 Panneaux; 33 Poteaux; 66 Bride; 66 Vis bride; 33 Platines; 132 Vis platine"
Kit de 5m;1725;Platine;-;"2 Panneaux; 3 Poteaux; 9 Bride; 9 Vis bride; 3 Platines; 12 Vis platine"
Kit de 7,5m;1725;Platine;-;"3 Panneaux; 4 Poteaux; 12 Bride; 12 Vis bride; 4 Platines; 16 Vis platine"
Kit de 10m;1725;Platine;-;"4 Panneaux; 5 Poteaux; 15 Bride; 15 Vis bride; 5 Platines; 20 Vis platine"
Kit de 12,5m;1725;Platine;-;"5 Panneaux; 6 Poteaux; 18 Bride; 18 Vis bride; 6 Platines; 24 Vis platine"
Kit de 15m;1725;Platine;-;"6 Panneaux; 7 Poteaux; 21 Bride; 21 Vis bride; 7 Platines; 28 Vis platine"
Kit de 17,5m;1725;Platine;-;"7 Panneaux; 8 Poteaux; 24 Bride; 24 Vis bride; 8 Platines; 32 Vis platine"
Kit de 20m;1725;Platine;-;"8 Panneaux; 9 Poteaux; 27 Bride; 27 Vis bride; 9 Platines; 36 Vis platine"
Kit de 22,5m;1725;Platine;-;"9 Panneaux; 10 Poteaux; 30 Bride; 30 Vis bride; 10 Platines; 40 Vis platine"
