2m;500;"2 MONTANT 486 mm; 2 Traverse Sup/Inf 2000 mm; 2 Parecloses grands 266 mm; 2 Parecloses petits 2000 mm; 2 Parecloses 486 mm; Largeur des panneaux: 1982 mm; Hauteur des panneaux: 278 mm; Nombre de panneaux: 1; 2 Bouchons; 2 Platines; 8 Vis DIN 6328 6,3X75; 32 Vis DIN 7504N 4,8X19; 8 Chevilles CH M6X70; 8 Equerres;"
4m;500;"3 MONTANT 486 mm; 4 Traverse Sup/Inf 2000 mm; 4 Parecloses grands 266 mm; 4 Parecloses petits 2000 mm; 2 Parecloses 486 mm; Largeur des panneaux: 1982 mm; Hauteur des panneaux: 278 mm; Nombre de panneaux: 2; 3 Bouchons; 3 Platines; 12 Vis DIN 6328 6,3X75; 48 Vis DIN 7504N 4,8X19; 12 Chevilles CH M6X70; 12 Equerres;"
6m;500;"4 MONTANT 486 mm; 6 Traverse Sup/Inf 2000 mm; 6 Parecloses grands 266 mm; 6 Parecloses petits 2000 mm; 2 Parecloses 486 mm; Largeur des panneaux: 1982 mm; Hauteur des panneaux: 278 mm; Nombre de panneaux: 3; 4 Bouchons; 4 Platines; 16 Vis DIN 6328 6,3X75; 64 Vis DIN 7504N 4,8X19; 16 Chevilles CH M6X70; 16 Equerres;"
8m;500;"5 MONTANT 486 mm; 8 Traverse Sup/Inf 2000 mm; 8 Parecloses grands 266 mm; 8 Parecloses petits 2000 mm; 2 Parecloses 486 mm; Largeur des panneaux: 1982 mm; Hauteur des panneaux: 278 mm; Nombre de panneaux: 4; 5 Bouchons; 5 Platines; 20 Vis DIN 6328 6,3X75; 80 Vis DIN 7504N 4,8X19; 20 Chevilles CH M6X70; 20 Equerres;"
2m;700;"2 MONTANT 686 mm; 2 Traverse Sup/Inf 2000 mm; 2 Parecloses grands 466 mm; 2 Parecloses petits 2000 mm; 2 Parecloses 686 mm; Largeur des panneaux: 1982 mm; Hauteur des panneaux: 478 mm; Nombre de panneaux: 1; 2 Bouchons; 2 Platines; 8 Vis DIN 6328 6,3X75; 32 Vis DIN 7504N 4,8X19; 8 Chevilles CH M6X70; 8 Equerres;"
4m;700;"3 MONTANT 686 mm; 4 Traverse Sup/Inf 2000 mm; 4 Parecloses grands 466 mm; 4 Parecloses petits 2000 mm; 2 Parecloses 686 mm; Largeur des panneaux: 1982 mm; Hauteur des panneaux: 478 mm; Nombre de panneaux: 2; 3 Bouchons; 3 Platines; 12 Vis DIN 6328 6,3X75; 48 Vis DIN 7504N 4,8X19; 12 Chevilles CH M6X70; 12 Equerres;"
6m;700;"4 MONTANT 686 mm; 6 Traverse Sup/Inf 2000 mm; 6 Parecloses grands 466 mm; 6 Parecloses petits 2000 mm; 2 Parecloses 686 mm; Largeur des panneaux: 1982 mm; Hauteur des panneaux: 478 mm; Nombre de panneaux: 3; 4 Bouchons; 4 Platines; 16 Vis DIN 6328 6,3X75; 64 Vis DIN 7504N 4,8X19; 16 Chevilles CH M6X70; 16 Equerres;"
8m;700;"5 MONTANT 686 mm; 8 Traverse Sup/Inf 2000 mm; 8 Parecloses grands 466 mm; 8 Parecloses petits 2000 mm; 2 Parecloses 686 mm; Largeur des panneaux: 1982 mm; Hauteur des panneaux: 478 mm; Nombre de panneaux: 4; 5 Bouchons; 5 Platines; 20 Vis DIN 6328 6,3X75; 80 Vis DIN 7504N 4,8X19; 20 Chevilles CH M6X70; 20 Equerres;"
2m;900;"2 MONTANT 886 mm; 2 Traverse Sup/Inf 2000 mm; 2 Parecloses grands 666 mm; 2 Parecloses petits 2000 mm; 2 Parecloses 886 mm; Largeur des panneaux: 1982 mm; Hauteur des panneaux: 678 mm; Nombre de panneaux: 1; 2 Bouchons; 2 Platines; 8 Vis DIN 6328 6,3X75; 32 Vis DIN 7504N 4,8X19; 8 Chevilles CH M6X70; 8 Equerres;"
4m;900;"3 MONTANT 886 mm; 4 Traverse Sup/Inf 2000 mm; 4 Parecloses grands 666 mm; 4 Parecloses petits 2000 mm; 2 Parecloses 886 mm; Largeur des panneaux: 1982 mm; Hauteur des panneaux: 678 mm; Nombre de panneaux: 2; 3 Bouchons; 3 Platines; 12 Vis DIN 6328 6,3X75; 48 Vis DIN 7504N 4,8X19; 12 Chevilles CH M6X70; 12 Equerres;"
