32m;120;Platine;"17 MONTANT 1102 mm; 0 LAMES 100 MF 2000 mm; 16 LAMES 100 SUP 2000 mm; 16 Parecloses petits 50 mm; 34 Parecloses grands 1102 mm; 17 Chapeaux montants; 17 Platines; 68 Vis DIN 6928 6,3X75; 68 Chevilles; 68 Vis DIN 7504N 4,8X19; 68 Rondelles 125 M8; 68 Bouchons 1174 NOIR/BLANC; 68 Bouchons NYLIN 10MM NOIR/BLANC; 68 Vis DIN 7504P INOX 5,5X50"
34m;120;Platine;"18 MONTANT 1102 mm; 0 LAMES 100 MF 2000 mm; 17 LAMES 100 SUP 2000 mm; 17 Parecloses petits 50 mm; 36 Parecloses grands 1102 mm; 18 Chapeaux montants; 18 Platines; 72 Vis DIN 6928 6,3X75; 72 Chevilles; 72 Vis DIN 7504N 4,8X19; 72 Rondelles 125 M8; 72 Bouchons 1174 NOIR/BLANC; 72 Bouchons NYLIN 10MM NOIR/BLANC; 72 Vis DIN 7504P INOX 5,5X50"
36m;120;Platine;"19 MONTANT 1102 mm; 0 LAMES 100 MF 2000 mm; 18 LAMES 100 SUP 2000 mm; 18 Parecloses petits 50 mm; 38 Parecloses grands 1102 mm; 19 Chapeaux montants; 19 Platines; 76 Vis DIN 6928 6,3X75; 76 Chevilles; 76 Vis DIN 7504N 4,8X19; 76 Rondelles 125 M8; 76 Bouchons 1174 NOIR/BLANC; 76 Bouchons NYLIN 10MM NOIR/BLANC; 76 Vis DIN 7504P INOX 5,5X50"
38m;120;Platine;"20 MONTANT 1102 mm; 0 LAMES 100 MF 2000 mm; 19 LAMES 100 SUP 2000 mm; 19 Parecloses petits 50 mm; 40 Parecloses grands 1102 mm; 20 Chapeaux montants; 20 Platines; 80 Vis DIN 6928 6,3X75; 80 Chevilles; 80 Vis DIN 7504N 4,8X19; 80 Rondelles 125 M8; 80 Bouchons 1174 NOIR/BLANC; 80 Bouchons NYLIN 10MM NOIR/BLANC; 80 Vis DIN 7504P INOX 5,5X50"
40m;120;Platine;"21 MONTANT 1102 mm; 0 LAMES 100 MF 2000 mm; 20 LAMES 100 SUP 2000 mm; 20 Parecloses petits 50 mm; 42 Parecloses grands 1102 mm; 21 Chapeaux montants; 21 Platines; 84 Vis DIN 6928 6,3X75; 84 Chevilles; 84 Vis DIN 7504N 4,8X19; 84 Rondelles 125 M8; 84 Bouchons 1174 NOIR/BLANC; 84 Bouchons NYLIN 10MM NOIR/BLANC; 84 Vis DIN 7504P INOX 5,5X50"
42m;120;Platine;"22 MONTANT 1102 mm; 0 LAMES 100 MF 2000 mm; 21 LAMES 100 SUP 2000 mm; 21 Parecloses petits 50 mm; 44 Parecloses grands 1102 mm; 22 Chapeaux montants; 22 Platines; 88 Vis DIN 6928 6,3X75; 88 Chevilles; 88 Vis DIN 7504N 4,8X19; 88 Rondelles 125 M8; 88 Bouchons 1174 NOIR/BLANC; 88 Bouchons NYLIN 10MM NOIR/BLANC; 88 Vis DIN 7504P INOX 5,5X50"
44m;120;Platine;"23 MONTANT 1102 mm; 0 LAMES 100 MF 2000 mm; 22 LAMES 100 SUP 2000 mm; 22 Parecloses petits 50 mm; 46 Parecloses grands 1102 mm; 23 Chapeaux montants; 23 Platines; 92 Vis DIN 6928 6,3X75; 92 Chevilles; 92 Vis DIN 7504N 4,8X19; 92 Rondelles 125 M8; 92 Bouchons 1174 NOIR/BLANC; 92 Bouchons NYLIN 10MM NOIR/BLANC; 92 Vis DIN 7504P INOX 5,5X50"
46m;120;Platine;"24 MONTANT 1102 mm; 0 LAMES 100 MF 2000 mm; 23 LAMES 100 SUP 2000 mm; 23 Parecloses petits 50 mm; 48 Parecloses grands 1102 mm; 24 Chapeaux montants; 24 Platines; 96 Vis DIN 6928 6,3X75; 96 Chevilles; 96 Vis DIN 7504N 4,8X19; 96 Rondelles 125 M8; 96 Bouchons 1174 NOIR/BLANC; 96 Bouchons NYLIN 10MM NOIR/BLANC; 96 Vis DIN 7504P INOX 5,5X50"
48m;120;Platine;"25 MONTANT 1102 mm; 0 LAMES 100 MF 2000 mm; 24 LAMES 100 SUP 2000 mm; 24 Parecloses petits 50 mm; 50 Parecloses grands 1102 mm; 25 Chapeaux montants; 25 Platines; 100 Vis DIN 6928 6,3X75; 100 Chevilles; 100 Vis DIN 7504N 4,8X19; 100 Rondelles 125 M8; 100 Bouchons 1174 NOIR/BLANC; 100 Bouchons NYLIN 10MM NOIR/BLANC; 100 Vis DIN 7504P INOX 5,5X50"
50m;120;Platine;"26 MONTANT 1102 mm; 0 LAMES 100 MF 2000 mm; 25 LAMES 100 SUP 2000 mm; 25 Parecloses petits 50 mm; 52 Parecloses grands 1102 mm; 26 Chapeaux montants; 26 Platines; 104 Vis DIN 6928 6,3X75; 104 Chevilles; 104 Vis DIN 7504N 4,8X19; 104 Rondelles 125 M8; 104 Bouchons 1174 NOIR/BLANC; 104 Bouchons NYLIN 10MM NOIR/BLANC; 104 Vis DIN 7504P INOX 5,5X50"
